"","sparsity","screening","avg_bmin"
"1",1,0.71,0.978107244186103
"2",3,0.575,0.484816055470146
"3",5,0.425,0.29803069954738
"4",7,0.345,0.258082789862528
"5",9,0.295,0.193865959439427
"6",11,0.185,0.175702567812987
"7",13,0.16,0.142607302786782
"8",15,0.14,0.128358455756679
"9",17,0.115,0.112505477084778
"10",19,0.1,0.110386327449232
"11",21,0.035,0.0894948641210794
"12",23,0.025,0.0844282119162381
"13",25,0.025,0.0771347456565127
"14",27,0.01,0.068848427911289
"15",29,0,0.0690261118859053
"16",31,0,0.0647141566872597
